anulovať	скасувати	anulovať	скасувати	NFIN;V
plyne	газі	plyn	газ	ESS;N;SG
plynu	газу	plyn	газ	DAT;N;SG
plyn	газ	plyn	газ	ACC;N;SG
plynoch	газах	plyn	газ	ESS;N;PL
plyn	газ	plyn	газ	N;NOM;SG
pláží	берегів	pláž	берег	GEN;N;PL
pláže	береги	pláž	берег	N;NOM;PL
plážami	берегами	pláž	берег	INS;N;PL
plážou	берегом	pláž	берег	INS;N;SG
pláži	березі	pláž	берег	ESS;N;SG
plážach	берегах	pláž	берег	ESS;N;PL
pláž	берег	pláž	берег	ACC;N;SG
pláže	берега	pláž	берег	GEN;N;SG
plážam	берегам	pláž	берег	DAT;N;PL
pláže	береги	pláž	берег	ACC;N;PL
pláži	берегу	pláž	берег	DAT;N;SG
pláž	берег	pláž	берег	N;NOM;SG
pláže	мілини	pláž	мілина	N;NOM;PL
pláž	мілина	pláž	мілина	N;NOM;SG
pláží	мілин	pláž	мілина	GEN;N;PL
pláž	мілину	pláž	мілина	ACC;N;SG
pláži	мілині	pláž	мілина	DAT;N;SG
pláže	мілини	pláž	мілина	GEN;N;SG
plážach	мілинах	pláž	мілина	ESS;N;PL
plážami	мілинами	pláž	мілина	INS;N;PL
plážou	мілиною	pláž	мілина	INS;N;SG
pláže	мілини	pláž	мілина	ACC;N;PL
plážam	мілинам	pláž	мілина	DAT;N;PL
pláži	мілині	pláž	мілина	ESS;N;SG
pochytiť	взяти	pochytiť	взяти	NFIN;V
povedať	сказати	povedať	сказати	NFIN;V
poznamenať	сказати	poznamenať	сказати	NFIN;V
pracujem	роблю	pracovať	робити	1;PRS;SG;V
pracovali	робили	pracovať	робити	3;FEM;PL;PST;V
pracujte	робіть	pracovať	робити	2;IMP;PL;V
pracujeme	робимо	pracovať	робити	1;PL;PRS;V
pracuje	робить	pracovať	робити	3;PRS;SG;V
pracoval	робив	pracovať	робити	3;MASC;PST;SG;V
pracovalo	робило	pracovať	робити	3;NEUT;PST;SG;V
pracujú	роблять	pracovať	робити	3;PL;PRS;V
pracujete	робите	pracovať	робити	2;PL;PRS;V
pracovala	робила	pracovať	робити	3;FEM;PST;SG;V
pracujme	робімо	pracovať	робити	1;IMP;PL;V
pracovať	робити	pracovať	робити	NFIN;V
pracovali	робили	pracovať	робити	3;MASC;PL;PST;V
pracuj	роби	pracovať	робити	2;IMP;SG;V
pracuješ	робиш	pracovať	робити	2;PRS;SG;V
prehlasovať	сказати	prehlasovať	сказати	NFIN;V
priateliek	друзів	priateľka	друг	GEN;N;PL
priateľke	другові	priateľka	друг	ESS;N;SG
priateľke	другові	priateľka	друг	DAT;N;SG
priateľky	друзі	priateľka	друг	N;NOM;PL
priateľky	друзів	priateľka	друг	ACC;N;PL
priateľkám	друзям	priateľka	друг	DAT;N;PL
priateľkou	другом	priateľka	друг	INS;N;SG
priateľku	друга	priateľka	друг	ACC;N;SG
priateľka	друг	priateľka	друг	N;NOM;SG
priateľkách	друзях	priateľka	друг	ESS;N;PL
priateľky	друга	priateľka	друг	GEN;N;SG
priateľkami	друзями	priateľka	друг	INS;N;PL
priateľka	дівчина	priateľka	дівчина	N;NOM;SG
priateľkami	дівчатами	priateľka	дівчина	INS;N;PL
priateliek	дівчат	priateľka	дівчина	GEN;N;PL
priateľkou	дівчиною	priateľka	дівчина	INS;N;SG
priateľke	дівчині	priateľka	дівчина	ESS;N;SG
priateľky	дівчини	priateľka	дівчина	GEN;N;SG
priateľke	дівчині	priateľka	дівчина	DAT;N;SG
priateľky	дівчата	priateľka	дівчина	N;NOM;PL
priateľkách	дівчатах	priateľka	дівчина	ESS;N;PL
priateľkám	дівчатам	priateľka	дівчина	DAT;N;PL
priateľku	дівчину	priateľka	дівчина	ACC;N;SG
priateľky	дівчат	priateľka	дівчина	ACC;N;PL
priateľke	приятелеві	priateľka	приятель	DAT;N;SG
priateľkami	приятелями	priateľka	приятель	INS;N;PL
priateľkách	приятелях	priateľka	приятель	ESS;N;PL
priateľky	приятелі	priateľka	приятель	N;NOM;PL
priateľka	приятель	priateľka	приятель	N;NOM;SG
priateliek	приятелів	priateľka	приятель	GEN;N;PL
priateľke	приятелеві	priateľka	приятель	ESS;N;SG
priateľky	приятеля	priateľka	приятель	GEN;N;SG
priateľkám	приятелям	priateľka	приятель	DAT;N;PL
priateľkou	приятелем	priateľka	приятель	INS;N;SG
priateľky	приятелів	priateľka	приятель	ACC;N;PL
priateľku	приятеля	priateľka	приятель	ACC;N;SG
priezviska	прізвища	priezvisko	прізвище	GEN;N;SG
priezviskách	прізвищах	priezvisko	прізвище	ESS;N;PL
priezvisk	прізвищ	priezvisko	прізвище	GEN;N;PL
priezviská	прізвища	priezvisko	прізвище	ACC;N;PL
priezvisku	прізвищі	priezvisko	прізвище	ESS;N;SG
priezviskami	прізвищами	priezvisko	прізвище	INS;N;PL
priezvisku	прізвищу	priezvisko	прізвище	DAT;N;SG
priezvisko	прізвище	priezvisko	прізвище	ACC;N;SG
priezviská	прізвища	priezvisko	прізвище	N;NOM;PL
priezviskám	прізвищам	priezvisko	прізвище	DAT;N;PL
priezviskom	прізвищем	priezvisko	прізвище	INS;N;SG
priezvisko	прізвище	priezvisko	прізвище	N;NOM;SG
prste	пальці	prst	палець	ESS;N;SG
prsty	пальці	prst	палець	ACC;N;PL
prsty	пальці	prst	палець	N;NOM;PL
prstami	пальцями	prst	палець	INS;N;PL
prst	палець	prst	палець	ACC;N;SG
prstoch	пальцях	prst	палець	ESS;N;PL
prstom	пальцям	prst	палець	DAT;N;PL
prstov	пальців	prst	палець	GEN;N;PL
prstom	пальцем	prst	палець	INS;N;SG
prstu	пальця	prst	палець	GEN;N;SG
prst	палець	prst	палець	N;NOM;SG
prstu	пальцю	prst	палець	DAT;N;SG
písmená	букви	písmeno	буква	ACC;N;PL
písmeno	букву	písmeno	буква	ACC;N;SG
písmená	букви	písmeno	буква	N;NOM;PL
písmenom	буквою	písmeno	буква	INS;N;SG
písmenám	буквам	písmeno	буква	DAT;N;PL
písmene	букві	písmeno	буква	ESS;N;SG
písmenami	буквами	písmeno	буква	INS;N;PL
písmena	букви	písmeno	буква	GEN;N;SG
písmen	букв	písmeno	буква	GEN;N;PL
písmeno	буква	písmeno	буква	N;NOM;SG
písmenách	буквах	písmeno	буква	ESS;N;PL
písmenu	букві	písmeno	буква	DAT;N;SG
písmeno	літеру	písmeno	літера	ACC;N;SG
písmenom	літерою	písmeno	літера	INS;N;SG
písmeno	літера	písmeno	літера	N;NOM;SG
písmenu	літері	písmeno	літера	DAT;N;SG
písmená	літери	písmeno	літера	ACC;N;PL
písmenám	літерам	písmeno	літера	DAT;N;PL
písmena	літери	písmeno	літера	GEN;N;SG
písmená	літери	písmeno	літера	N;NOM;PL
písmenách	літерах	písmeno	літера	ESS;N;PL
písmenami	літерами	písmeno	літера	INS;N;PL
písmen	літер	písmeno	літера	GEN;N;PL
písmene	літері	písmeno	літера	ESS;N;SG
ramena	руки	rameno	рука	GEN;N;SG
ramenám	рукам	rameno	рука	DAT;N;PL
ramenu	руці	rameno	рука	DAT;N;SG
ramien	рук	rameno	рука	GEN;N;PL
ramená	руки	rameno	рука	N;NOM;PL
rameno	рука	rameno	рука	N;NOM;SG
ramenami	руками	rameno	рука	INS;N;PL
ramenom	рукою	rameno	рука	INS;N;SG
ramene	руці	rameno	рука	ESS;N;SG
rameno	руку	rameno	рука	ACC;N;SG
ramenách	руках	rameno	рука	ESS;N;PL
ramená	руки	rameno	рука	ACC;N;PL
rieky	ріки	rieka	ріка	N;NOM;PL
riek	рік	rieka	ріка	GEN;N;PL
riekach	ріках	rieka	ріка	ESS;N;PL
rieke	ріці	rieka	ріка	DAT;N;SG
riekam	рікам	rieka	ріка	DAT;N;PL
riekou	рікою	rieka	ріка	INS;N;SG
riekami	ріками	rieka	ріка	INS;N;PL
rieka	ріка	rieka	ріка	N;NOM;SG
rieky	ріки	rieka	ріка	ACC;N;PL
rieky	ріки	rieka	ріка	GEN;N;SG
rieku	ріку	rieka	ріка	ACC;N;SG
rieke	ріці	rieka	ріка	ESS;N;SG
rieke	річці	rieka	річка	ESS;N;SG
riekami	річками	rieka	річка	INS;N;PL
rieku	річку	rieka	річка	ACC;N;SG
riekam	річкам	rieka	річка	DAT;N;PL
rieka	річка	rieka	річка	N;NOM;SG
rieky	річки	rieka	річка	GEN;N;SG
rieky	річки	rieka	річка	N;NOM;PL
riekou	річкою	rieka	річка	INS;N;SG
riekach	річках	rieka	річка	ESS;N;PL
rieky	річки	rieka	річка	ACC;N;PL
rieke	річці	rieka	річка	DAT;N;SG
riek	річок	rieka	річка	GEN;N;PL
robievalo	робило	robiť	робити	3;NEUT;PST;SG;V
rob	роби	robiť	робити	2;IMP;SG;V
robia	роблять	robiť	робити	3;PL;PRS;V
robíš	робиш	robiť	робити	2;PRS;SG;V
robme	робімо	robiť	робити	1;IMP;PL;V
robí	робить	robiť	робити	3;PRS;SG;V
robiť	робити	robiť	робити	NFIN;V
robievali	робили	robiť	робити	3;MASC;PL;PST;V
robím	роблю	robiť	робити	1;PRS;SG;V
robíme	робимо	robiť	робити	1;PL;PRS;V
robte	робіть	robiť	робити	2;IMP;PL;V
robievala	робила	robiť	робити	3;FEM;PST;SG;V
robíte	робите	robiť	робити	2;PL;PRS;V
robievali	робили	robiť	робити	3;FEM;PL;PST;V
robieval	робив	robiť	робити	3;MASC;PST;SG;V
roku	році	rok	рік	ESS;N;SG
roka	року	rok	рік	GEN;N;SG
roky	роки	rok	рік	ACC;N;PL
rok	рік	rok	рік	N;NOM;SG
rokom	роком	rok	рік	INS;N;SG
roky	роки	rok	рік	N;NOM;PL
rokom	рокам	rok	рік	DAT;N;PL
rokmi	роками	rok	рік	INS;N;PL
rokoch	роках	rok	рік	ESS;N;PL
roku	рокові	rok	рік	DAT;N;SG
rok	рік	rok	рік	ACC;N;SG
rokov	років	rok	рік	GEN;N;PL
rušiť	скасувати	rušiť	скасувати	NFIN;V
rysoch	рисах	rys	риса	ESS;N;PL
rysom	рисою	rys	риса	INS;N;SG
rysovi	рисі	rys	риса	ESS;N;SG
rysa	рису	rys	риса	ACC;N;SG
rysovi	рисі	rys	риса	DAT;N;SG
rysa	риси	rys	риса	GEN;N;SG
rysy	риси	rys	риса	ACC;N;PL
rysov	рис	rys	риса	GEN;N;PL
rys	риса	rys	риса	N;NOM;SG
rysy	риси	rys	риса	N;NOM;PL
rysmi	рисами	rys	риса	INS;N;PL
rysom	рисам	rys	риса	DAT;N;PL
sad	сад	sad	сад	ACC;N;SG
sadu	саду	sad	сад	DAT;N;SG
sadu	саду	sad	сад	GEN;N;SG
sade	саду	sad	сад	ESS;N;SG
sadoch	садах	sad	сад	ESS;N;PL
sadom	садом	sad	сад	INS;N;SG
sady	сади	sad	сад	ACC;N;PL
sadom	садам	sad	сад	DAT;N;PL
sadmi	садами	sad	сад	INS;N;PL
sady	сади	sad	сад	N;NOM;PL
sadov	садів	sad	сад	GEN;N;PL
sad	сад	sad	сад	N;NOM;SG
saune	сауні	sauna	сауна	DAT;N;SG
saunám	саунам	sauna	сауна	DAT;N;PL
saunami	саунами	sauna	сауна	INS;N;PL
saunách	саунах	sauna	сауна	ESS;N;PL
sauny	сауни	sauna	сауна	N;NOM;PL
sauny	сауни	sauna	сауна	ACC;N;PL
sauna	сауна	sauna	сауна	N;NOM;SG
saunu	сауну	sauna	сауна	ACC;N;SG
sauny	сауни	sauna	сауна	GEN;N;SG
sáun	саун	sauna	сауна	GEN;N;PL
saunou	сауною	sauna	сауна	INS;N;SG
saune	сауні	sauna	сауна	ESS;N;SG
sestru	сестру	sestra	сестра	ACC;N;SG
sestry	сестри	sestra	сестра	N;NOM;PL
sestrách	сестрах	sestra	сестра	ESS;N;PL
sestrám	сестрам	sestra	сестра	DAT;N;PL
sestrami	сестрами	sestra	сестра	INS;N;PL
sestier	сестер	sestra	сестра	GEN;N;PL
sestrou	сестрою	sestra	сестра	INS;N;SG
sestry	сестер	sestra	сестра	ACC;N;PL
sestre	сестрі	sestra	сестра	ESS;N;SG
sestre	сестрі	sestra	сестра	DAT;N;SG
sestry	сестри	sestra	сестра	GEN;N;SG
sestra	сестра	sestra	сестра	N;NOM;SG
sklách	стеклах	sklo	скло	ESS;N;PL
skla	скла	sklo	скло	GEN;N;SG
sklá	стекла	sklo	скло	ACC;N;PL
sklám	стеклам	sklo	скло	DAT;N;PL
skiel	стекол	sklo	скло	GEN;N;PL
sklo	скло	sklo	скло	ACC;N;SG
sklom	склом	sklo	скло	INS;N;SG
sklo	скло	sklo	скло	N;NOM;SG
sklu	склу	sklo	скло	DAT;N;SG
sklá	стекла	sklo	скло	N;NOM;PL
skle	склі	sklo	скло	ESS;N;SG
sklami	стеклами	sklo	скло	INS;N;PL
slnca	сонця	slnce	сонце	GEN;N;SG
slncami	сонцями	slnce	сонце	INS;N;PL
slncia	сонця	slnce	сонце	N;NOM;PL
slncia	сонця	slnce	сонце	ACC;N;PL
slncu	сонцю	slnce	сонце	DAT;N;SG
slnciach	сонцях	slnce	сонце	ESS;N;PL
slnci	сонці	slnce	сонце	ESS;N;SG
sĺnc	сонць	slnce	сонце	GEN;N;PL
slnce	сонце	slnce	сонце	N;NOM;SG
slnce	сонце	slnce	сонце	ACC;N;SG
slncom	сонцем	slnce	сонце	INS;N;SG
slnciam	сонцям	slnce	сонце	DAT;N;PL
slony	слони	slon	слон	ACC;N;PL
slonom	слонам	slon	слон	DAT;N;PL
slonovi	слонові	slon	слон	ESS;N;SG
slonmi	слонами	slon	слон	INS;N;PL
slonovi	слонові	slon	слон	DAT;N;SG
slonom	слоном	slon	слон	INS;N;SG
slon	слон	slon	слон	N;NOM;SG
slonoch	слонах	slon	слон	ESS;N;PL
slony	слони	slon	слон	N;NOM;PL
slona	слона	slon	слон	GEN;N;SG
slonov	слонів	slon	слон	GEN;N;PL
slona	слона	slon	слон	ACC;N;SG
slovesám	дієсловам	sloveso	дієслово	DAT;N;PL
slovese	дієслові	sloveso	дієслово	ESS;N;SG
sloveso	дієслово	sloveso	дієслово	N;NOM;SG
slovies	дієслів	sloveso	дієслово	GEN;N;PL
slovesu	дієслову	sloveso	дієслово	DAT;N;SG
sloveso	дієслово	sloveso	дієслово	ACC;N;SG
slovesami	дієсловами	sloveso	дієслово	INS;N;PL
slovesa	дієслова	sloveso	дієслово	GEN;N;SG
slovesá	дієслова	sloveso	дієслово	ACC;N;PL
slovesom	дієсловом	sloveso	дієслово	INS;N;SG
slovesách	дієсловах	sloveso	дієслово	ESS;N;PL
slovesá	дієслова	sloveso	дієслово	N;NOM;PL
slovo	слово	slovo	слово	ACC;N;SG
slovách	словах	slovo	слово	ESS;N;PL
slovo	слово	slovo	слово	N;NOM;SG
slovom	словом	slovo	слово	INS;N;SG
slovami	словами	slovo	слово	INS;N;PL
slovu	слову	slovo	слово	DAT;N;SG
slová	слова	slovo	слово	N;NOM;PL
slová	слова	slovo	слово	ACC;N;PL
slove	слові	slovo	слово	ESS;N;SG
slova	слова	slovo	слово	GEN;N;SG
slov	слів	slovo	слово	GEN;N;PL
slovám	словам	slovo	слово	DAT;N;PL
sneh	сніги	sneh	сніг	N;NOM;PL
snehu	снігах	sneh	сніг	ESS;N;PL
snehu	снігам	sneh	сніг	DAT;N;PL
snehom	снігами	sneh	сніг	INS;N;PL
snehu	снігів	sneh	сніг	GEN;N;PL
sneh	сніги	sneh	сніг	ACC;N;PL
sobote	суботі	sobota	субота	ESS;N;SG
sobotou	суботою	sobota	субота	INS;N;SG
sobota	субота	sobota	субота	N;NOM;SG
sobotu	суботу	sobota	субота	ACC;N;SG
sobotám	суботам	sobota	субота	DAT;N;PL
soboty	суботи	sobota	субота	GEN;N;SG
sobôt	субот	sobota	субота	GEN;N;PL
sobotách	суботах	sobota	субота	ESS;N;PL
sobotami	суботами	sobota	субота	INS;N;PL
soboty	суботи	sobota	субота	ACC;N;PL
sobote	суботі	sobota	субота	DAT;N;SG
soboty	суботи	sobota	субота	N;NOM;PL
somára	ішака	somár	ішак	ACC;N;SG
somárovi	ішаку	somár	ішак	ESS;N;SG
somárom	ішаком	somár	ішак	INS;N;SG
somármi	ішаками	somár	ішак	INS;N;PL
somárovi	ішаку	somár	ішак	DAT;N;SG
somáre	ішаки	somár	ішак	ACC;N;PL
somárom	ішакам	somár	ішак	DAT;N;PL
somár	ішак	somár	ішак	N;NOM;SG
somáre	ішаки	somár	ішак	N;NOM;PL
somároch	ішаках	somár	ішак	ESS;N;PL
somárov	ішаків	somár	ішак	GEN;N;PL
somára	ішака	somár	ішак	GEN;N;SG
soli	солі	soľ	сіль	DAT;N;SG
soľ	сіль	soľ	сіль	ACC;N;SG
soli	солі	soľ	сіль	ACC;N;PL
soli	солі	soľ	сіль	N;NOM;PL
soliach	солях	soľ	сіль	ESS;N;PL
soliam	солям	soľ	сіль	DAT;N;PL
solí	солей	soľ	сіль	GEN;N;PL
soli	солі	soľ	сіль	ESS;N;SG
soľ	сіль	soľ	сіль	N;NOM;SG
soliami	солями	soľ	сіль	INS;N;PL
soľou	сіллю	soľ	сіль	INS;N;SG
soli	солі	soľ	сіль	GEN;N;SG
spraviť	зробити	spraviť	зробити	NFIN;V
sprcha	душ	sprcha	душ	N;NOM;SG
sprche	душі	sprcha	душ	ESS;N;SG
spŕch	душів	sprcha	душ	GEN;N;PL
sprchu	душ	sprcha	душ	ACC;N;SG
sprchy	душі	sprcha	душ	ACC;N;PL
sprche	душу	sprcha	душ	DAT;N;SG
sprchách	душах	sprcha	душ	ESS;N;PL
sprchy	душу	sprcha	душ	GEN;N;SG
sprchou	душем	sprcha	душ	INS;N;SG
sprchy	душі	sprcha	душ	N;NOM;PL
sprchám	душам	sprcha	душ	DAT;N;PL
sprchami	душами	sprcha	душ	INS;N;PL
starého	старого	starý	старий	ACC;ADJ;MASC;SG
starom	старому	starý	старий	ADJ;ESS;NEUT;SG
starého	старого	starý	старий	ADJ;GEN;NEUT;SG
starom	старому	starý	старий	ADJ;ESS;MASC;SG
staré	старе	starý	старий	ACC;ADJ;NEUT;SG
staré	старе	starý	старий	ADJ;NEUT;NOM;SG
starých	старих	starý	старий	ADJ;ESS;PL
stará	стара	starý	старий	ADJ;FEM;NOM;SG
starej	старій	starý	старий	ADJ;ESS;FEM;SG
starým	старим	starý	старий	ADJ;DAT;PL
starými	старими	starý	старий	ADJ;INS;PL
starého	старого	starý	старий	ADJ;GEN;MASC;SG
staré	старих	starý	старий	ACC;ADJ;PL
starým	старим	starý	старий	ADJ;INS;NEUT;SG
starých	старих	starý	старий	ADJ;GEN;PL
staré	старі	starý	старий	ADJ;NOM;PL
starú	стару	starý	старий	ACC;ADJ;FEM;SG
starou	старою	starý	старий	ADJ;FEM;INS;SG
starým	старим	starý	старий	ADJ;INS;MASC;SG
starej	старій	starý	старий	ADJ;DAT;FEM;SG
starý	старий	starý	старий	ADJ;MASC;NOM;SG
starému	старому	starý	старий	ADJ;DAT;NEUT;SG
starému	старому	starý	старий	ADJ;DAT;MASC;SG
starý	старий	starý	старий	ACC;ADJ;INAN;MASC;SG
starej	старої	starý	старий	ADJ;FEM;GEN;SG
steny	стіни	stena	стіна	ACC;N;PL
stena	стіна	stena	стіна	N;NOM;SG
stene	стіні	stena	стіна	ESS;N;SG
steny	стіни	stena	стіна	GEN;N;SG
stenách	стінах	stena	стіна	ESS;N;PL
stenu	стіну	stena	стіна	ACC;N;SG
steny	стіни	stena	стіна	N;NOM;PL
stenou	стіною	stena	стіна	INS;N;SG
stien	стін	stena	стіна	GEN;N;PL
stene	стіні	stena	стіна	DAT;N;SG
stenám	стінам	stena	стіна	DAT;N;PL
stenami	стінами	stena	стіна	INS;N;PL
stornovať	скасувати	stornovať	скасувати	NFIN;V
streda	середа	streda	середа	N;NOM;SG
stredami	середами	streda	середа	INS;N;PL
stredou	середою	streda	середа	INS;N;SG
strede	середі	streda	середа	ESS;N;SG
stredách	середах	streda	середа	ESS;N;PL
strede	середі	streda	середа	DAT;N;SG
stredy	середи	streda	середа	GEN;N;SG
stredy	середи	streda	середа	N;NOM;PL
stredu	середу	streda	середа	ACC;N;SG
stredám	середам	streda	середа	DAT;N;PL
stredy	середи	streda	середа	ACC;N;PL
stried	серед	streda	середа	GEN;N;PL
sudcami	суддями	sudca	суддя	INS;N;PL
sudcovi	судді	sudca	суддя	ESS;N;SG
sudcov	суддів	sudca	суддя	ACC;N;PL
sudca	суддя	sudca	суддя	N;NOM;SG
sudcu	судді	sudca	суддя	GEN;N;SG
sudcoch	суддях	sudca	суддя	ESS;N;PL
sudcom	суддею	sudca	суддя	INS;N;SG
sudcovia	судді	sudca	суддя	N;NOM;PL
sudcom	суддям	sudca	суддя	DAT;N;PL
sudcov	суддів	sudca	суддя	GEN;N;PL
sudcu	суддю	sudca	суддя	ACC;N;SG
sudcovi	судді	sudca	суддя	DAT;N;SG
suku	пса	suka	пес	ACC;N;SG
sukami	псами	suka	пес	INS;N;PL
sukou	псом	suka	пес	INS;N;SG
suky	пси	suka	пес	ACC;N;PL
suky	пси	suka	пес	N;NOM;PL
sukách	псах	suka	пес	ESS;N;PL
suky	пса	suka	пес	GEN;N;SG
suke	псові	suka	пес	DAT;N;SG
suka	пес	suka	пес	N;NOM;SG
súk	псів	suka	пес	GEN;N;PL
suke	псові	suka	пес	ESS;N;SG
sukám	псам	suka	пес	DAT;N;PL
syrom	сирам	syr	сир	DAT;N;PL
syroch	сирах	syr	сир	ESS;N;PL
syr	сир	syr	сир	N;NOM;SG
syra	сиру	syr	сир	GEN;N;SG
syrom	сиром	syr	сир	INS;N;SG
syry	сири	syr	сир	ACC;N;PL
syry	сири	syr	сир	N;NOM;PL
syru	сиру	syr	сир	DAT;N;SG
syrov	сирів	syr	сир	GEN;N;PL
syrmi	сирами	syr	сир	INS;N;PL
syre	сирі	syr	сир	ESS;N;SG
syr	сир	syr	сир	ACC;N;SG
súdruh	товариш	súdruh	товариш	N;NOM;SG
súdruhom	товаришам	súdruh	товариш	DAT;N;PL
súdruha	товариша	súdruh	товариш	ACC;N;SG
súdruhmi	товаришами	súdruh	товариш	INS;N;PL
súdruhovi	товаришеві	súdruh	товариш	ESS;N;SG
súdruhom	товаришем	súdruh	товариш	INS;N;SG
súdruhov	товаришів	súdruh	товариш	ACC;N;PL
súdruhovi	товаришеві	súdruh	товариш	DAT;N;SG
súdruha	товариша	súdruh	товариш	GEN;N;SG
súdruhov	товаришів	súdruh	товариш	GEN;N;PL
súdruhoch	товаришах	súdruh	товариш	ESS;N;PL
súdruhovia	товариші	súdruh	товариш	N;NOM;PL
teľatám	телятам	teľa	теля	DAT;N;PL
teľa	теля	teľa	теля	N;NOM;SG
teľaťa	теляти	teľa	теля	GEN;N;SG
teľatách	телятах	teľa	теля	ESS;N;PL
teľa	теля	teľa	теля	ACC;N;SG
teľaťu	теляті	teľa	теля	DAT;N;SG
teliat	телят	teľa	теля	GEN;N;PL
teľaťom	телям	teľa	теля	INS;N;SG
teľati	теляті	teľa	теля	ESS;N;SG
teľatami	телятами	teľa	теля	INS;N;PL
teľatá	телята	teľa	теля	ACC;N;PL
teľatá	телята	teľa	теля	N;NOM;PL
trhy	ринки	trh	ринок	N;NOM;PL
trhu	ринку	trh	ринок	ESS;N;SG
trhom	ринком	trh	ринок	INS;N;SG
trhu	ринку	trh	ринок	DAT;N;SG
trhu	ринку	trh	ринок	GEN;N;SG
trhoch	ринках	trh	ринок	ESS;N;PL
trhmi	ринками	trh	ринок	INS;N;PL
trhy	ринки	trh	ринок	ACC;N;PL
trh	ринок	trh	ринок	N;NOM;SG
trh	ринок	trh	ринок	ACC;N;SG
trhov	ринків	trh	ринок	GEN;N;PL
trhom	ринкам	trh	ринок	DAT;N;PL
uchopiť	взяти	uchopiť	взяти	NFIN;V
uchopovať	взяти	uchopovať	взяти	NFIN;V
ulica	вулиця	ulica	вулиця	N;NOM;SG
ulici	вулиці	ulica	вулиця	DAT;N;SG
uliciam	вулицям	ulica	вулиця	DAT;N;PL
ulicu	вулицю	ulica	вулиця	ACC;N;SG
ulice	вулиці	ulica	вулиця	ACC;N;PL
ulice	вулиці	ulica	вулиця	GEN;N;SG
ulíc	вулиць	ulica	вулиця	GEN;N;PL
ulice	вулиці	ulica	вулиця	N;NOM;PL
ulicami	вулицями	ulica	вулиця	INS;N;PL
uliciach	вулицях	ulica	вулиця	ESS;N;PL
ulicou	вулицею	ulica	вулиця	INS;N;SG
ulici	вулиці	ulica	вулиця	ESS;N;SG
urobiť	зробити	urobiť	зробити	NFIN;V
učiteľom	вчителем	učiteľ	вчитель	INS;N;SG
učiteľoch	вчителях	učiteľ	вчитель	ESS;N;PL
učitelia	вчителі	učiteľ	вчитель	N;NOM;PL
učiteľa	вчителя	učiteľ	вчитель	GEN;N;SG
učiteľovi	вчителеві	učiteľ	вчитель	DAT;N;SG
učiteľmi	вчителями	učiteľ	вчитель	INS;N;PL
učiteľom	вчителям	učiteľ	вчитель	DAT;N;PL
učiteľov	вчителів	učiteľ	вчитель	ACC;N;PL
učiteľovi	вчителеві	učiteľ	вчитель	ESS;N;SG
učiteľa	вчителя	učiteľ	вчитель	ACC;N;SG
učiteľov	вчителів	učiteľ	вчитель	GEN;N;PL
učiteľ	вчитель	učiteľ	вчитель	N;NOM;SG
učiteľom	учителем	učiteľ	учитель	INS;N;SG
učitelia	учителі	učiteľ	учитель	N;NOM;PL
učiteľov	учителів	učiteľ	учитель	GEN;N;PL
učiteľovi	учителеві	učiteľ	учитель	DAT;N;SG
učiteľoch	учителях	učiteľ	учитель	ESS;N;PL
učiteľa	учителя	učiteľ	учитель	ACC;N;SG
učiteľovi	учителеві	učiteľ	учитель	ESS;N;SG
učiteľmi	учителями	učiteľ	учитель	INS;N;PL
učiteľa	учителя	učiteľ	учитель	GEN;N;SG
učiteľom	учителям	učiteľ	учитель	DAT;N;PL
učiteľov	учителів	učiteľ	учитель	ACC;N;PL
učiteľ	учитель	učiteľ	учитель	N;NOM;SG
vajciam	яйцям	vajce	яйце	DAT;N;PL
vajcia	яйця	vajce	яйце	ACC;N;PL
vajcami	яйцями	vajce	яйце	INS;N;PL
vajciach	яйцях	vajce	яйце	ESS;N;PL
vajca	яйця	vajce	яйце	GEN;N;SG
vajcia	яйця	vajce	яйце	N;NOM;PL
vajce	яйце	vajce	яйце	ACC;N;SG
vajcom	яйцем	vajce	яйце	INS;N;SG
vajce	яйце	vajce	яйце	N;NOM;SG
vajcu	яйцю	vajce	яйце	DAT;N;SG
vajci	яйці	vajce	яйце	ESS;N;SG
vajec	яєць	vajce	яйце	GEN;N;PL
vajcia	яєчка	vajce	яєчко	ACC;N;PL
vajca	яєчка	vajce	яєчко	GEN;N;SG
vajcom	яєчком	vajce	яєчко	INS;N;SG
vajce	яєчко	vajce	яєчко	N;NOM;SG
vajcia	яєчка	vajce	яєчко	N;NOM;PL
vajcami	яєчками	vajce	яєчко	INS;N;PL
vajce	яєчко	vajce	яєчко	ACC;N;SG
vajciam	яєчкам	vajce	яєчко	DAT;N;PL
vajci	яєчку	vajce	яєчко	ESS;N;SG
vajec	яєчок	vajce	яєчко	GEN;N;PL
vajcu	яєчку	vajce	яєчко	DAT;N;SG
vajciach	яєчках	vajce	яєчко	ESS;N;PL
vede	науці	veda	наука	DAT;N;SG
vedu	науку	veda	наука	ACC;N;SG
vied	наук	veda	наука	GEN;N;PL
vedy	науки	veda	наука	ACC;N;PL
vedách	науках	veda	наука	ESS;N;PL
vedám	наукам	veda	наука	DAT;N;PL
vede	науці	veda	наука	ESS;N;SG
vedy	науки	veda	наука	N;NOM;PL
vedy	науки	veda	наука	GEN;N;SG
veda	наука	veda	наука	N;NOM;SG
vedami	науками	veda	наука	INS;N;PL
vedou	наукою	veda	наука	INS;N;SG
